"yr","date","h3grp","time","wind.2m","rain.rate","air.temp","date.time","ct","rain.cum","sim","man.dm","man.ph","app.rate.ni","tan.app","f0","r1","r2","r3","f4","f","s","j","e","e.int","er"
2020,2020-04-12,0,3,2.60783399508585,0,7.76666666666667,2020-04-12 03:00:00,162,1.4,143,6.5,7,30,100,0.322934597685581,0.0181811365857691,0.0158786853066665,0.000449353106180681,1,0.00329929803459482,67.7283178029426,0.030517572719044,32.2683828990228,0.0915527181571321,0.322683828990228
2020,2020-04-12,1,6,2.04535999614576,0,6.83333333333333,2020-04-12 06:00:00,165,1.4,143,6.5,7,30,100,0.322934597685581,0.012777909349126,0.0158786853066665,0.000449353106180681,1,0.00302750832152834,67.6372280218615,0.0304538569314019,32.359744469817,0.0913615707942057,0.32359744469817
2020,2020-04-12,2,9,2.53113299523038,0,7.36666666666667,2020-04-12 09:00:00,168,1.4,143,6.5,7,30,100,0.322934597685581,0.016545439732325,0.0158786853066665,0.000449353106180681,1,0.00274688507577519,67.5462477883193,0.030420285595973,32.4510053266049,0.091260856787919,0.324510053266049
2020,2020-04-06,3,12,4.883296990798,0,12.6333333333333,2020-04-06 12:00:00,3,0,144,6.5,7,30,100,0.322934597685581,0.0910869551450417,0.0158786853066665,0.000449353106180681,1,23.4288414597915,68.930317815557,2.54694690821715,7.64084072465146,7.64084072465146,0.0764084072465146
2020,2020-04-06,4,15,4.98556499060529,0,16.7666666666667,2020-04-06 15:00:00,6,0,144,6.5,7,30,100,0.322934597685581,0.190020347526035,0.0158786853066665,0.000449353106180681,1,12.6324728116458,69.6694428845386,3.35241452638805,17.6980843038156,10.0572435791641,0.176980843038156
2020,2020-04-06,5,18,4.65319399123161,0,17.7333333333333,2020-04-06 18:00:00,9,0,144,6.5,7,30,100,0.322934597685581,0.199501838101883,0.0158786853066665,0.000449353106180681,1,6.6202235330561,70.0185033343648,1.88772960958784,23.3612731325791,5.66318882876353,0.233612731325791
2020,2020-04-06,6,21,3.11917399412229,0,14.4,2020-04-06 21:00:00,12,0,144,6.5,7,30,100,0.322934597685581,0.0667254866642589,0.0158786853066665,0.000449353106180681,1,5.16712592382367,70.2033052984476,0.422765215049859,24.6295687777287,1.26829564514958,0.246295687777287
2020,2020-04-06,7,24,2.42886499542309,0,10.1333333333333,2020-04-07 00:00:00,15,0,144,6.5,7,30,100,0.322934597685581,0.0255140181273905,0.0158786853066665,0.000449353106180681,1,4.5637219581191,70.3400439013781,0.155555120924699,25.0962341405028,0.466665362774098,0.250962341405028
2020,2020-04-07,0,3,2.88907099455589,0,8.53333333333333,2020-04-07 03:00:00,18,0,144,6.5,7,30,100,0.322934597685581,0.0228173101559946,0.0158786853066665,0.000449353106180681,1,4.0635237792143,70.4503978001329,0.129948093383331,25.4860784206528,0.389844280149994,0.254860784206528
2020,2020-04-07,1,6,2.96577199441135,0,6.36666666666667,2020-04-07 06:00:00,21,0,144,6.5,7,30,100,0.322934597685581,0.0162348254812255,0.0158786853066665,0.000449353106180681,1,3.69030824847258,70.5399024231307,0.0945703025813245,25.7697893283968,0.283710907743973,0.257697893283968
2020,2020-04-07,2,9,3.29814299378504,0,7.03333333333333,2020-04-07 09:00:00,24,0,144,6.5,7,30,100,0.322934597685581,0.0203901554307408,0.0158786853066665,0.000449353106180681,1,3.3098519772425,70.6113259777712,0.103010905529856,26.0788220449863,0.309032716589567,0.260788220449863
2020,2020-04-07,3,12,4.0651529923397,0,11.3333333333333,2020-04-07 12:00:00,27,0,144,6.5,7,30,100,0.322934597685581,0.0550694189226037,0.0158786853066665,0.000449353106180681,1,2.67529366554584,70.6581213984283,0.195920963679833,26.6665849360258,0.5877628910395,0.266665849360258
2020,2020-04-07,4,15,4.5253589914725,0,13.2,2020-04-07 15:00:00,30,0,144,6.5,7,30,100,0.322934597685581,0.0885817030804009,0.0158786853066665,0.000449353106180681,1,1.95556272456847,70.6722606510462,0.235197229453171,27.3721766243854,0.705591688359512,0.273721766243853
2020,2020-04-07,5,18,3.91175099262877,0,12.5,2020-04-07 18:00:00,33,0,144,6.5,7,30,100,0.322934597685581,0.0636295708030252,0.0158786853066665,0.000449353106180681,1,1.54057114700116,70.6598748285778,0.142459133345227,27.799554024421,0.427377400035681,0.27799554024421
2020,2020-04-07,6,21,0.997112998121059,0,9.1,2020-04-07 21:00:00,36,0,144,6.5,7,30,100,0.322934597685581,0.0130508678192897,0.0158786853066665,0.000449353106180681,1,1.41250477274426,70.6349295868587,0.0510038719919912,27.952565640397,0.153011615975974,0.27952565640397
2020,2020-04-07,7,24,0,0,5.2,2020-04-08 00:00:00,39,0,144,6.5,7,30,100,0.322934597685581,0.0047751780525347,0.0158786853066665,0.000449353106180681,1,1.32764005698529,70.6049732272871,0.0382736917768618,28.0673867157276,0.114821075330585,0.280673867157276
2020,2020-04-08,0,3,0.792576998506482,0,4.06666666666667,2020-04-08 03:00:00,42,0,144,6.5,7,30,100,0.322934597685581,0.00518488982509586,0.0158786853066665,0.000449353106180681,1,1.24634123531983,70.5711027012601,0.0383897825641479,28.18255606342,0.115169347692444,0.2818255606342
2020,2020-04-08,1,6,1.12494799788017,0,2.56666666666667,2020-04-08 06:00:00,45,0,144,6.5,7,30,100,0.322934597685581,0.00451200921704341,0.0158786853066665,0.000449353106180681,1,1.17238503331699,70.5335848986994,0.0371580015211883,28.2940300679836,0.111474004563565,0.282940300679836
2020,2020-04-08,2,9,2.30102999566398,0,5.9,2020-04-08 09:00:00,48,0,144,6.5,7,30,100,0.322934597685581,0.0119189716608559,0.0158786853066665,0.000449353106180681,1,1.07858197577295,70.4921114469518,0.0450921697638857,28.4293065772753,0.135276509291657,0.284293065772753
2020,2020-04-08,3,12,3.50267899339962,0,13.8,2020-04-08 12:00:00,51,0,144,6.5,7,30,100,0.322934597685581,0.0688326306799967,0.0158786853066665,0.000449353106180681,1,0.836535136762227,70.4424864532673,0.0972239442317431,28.7209784099705,0.291671832695229,0.287209784099705
2020,2020-04-08,4,15,3.27257599383322,0,16.6,2020-04-08 15:00:00,54,0,144,6.5,7,30,100,0.322934597685581,0.102126142545432,0.0158786853066665,0.000449353106180681,1,0.587134567948477,70.3811250866669,0.10358731180471,29.0317403453846,0.310761935414131,0.290317403453846
2020,2020-04-08,5,18,3.06803999421864,0,15.3333333333333,2020-04-08 18:00:00,57,0,144,6.5,7,30,100,0.322934597685581,0.0767799488361669,0.0158786853066665,0.000449353106180681,1,0.444645856864802,70.310711809607,0.070967329381182,29.2446423335282,0.212901988143546,0.292446423335282
2020,2020-04-08,6,21,2.14762799595305,0,10.9,2020-04-08 21:00:00,60,0,144,6.5,7,30,100,0.322934597685581,0.0263572976458557,0.0158786853066665,0.000449353106180681,1,0.391728966709485,70.2358731605044,0.0425851797526586,29.3723978727861,0.127755539257976,0.293723978727861
