"decade","app.timing","app.timing.d","app.mthd","crop.status","app.mthd.d","incorp.timing","man.trt","man.source","man.descrip.d","man.source.d","id","incorp","crop.status.d","incorp.timing.d","EF.2008","EF.2008.source","notes.inputs","man.dm","man.ph","man.tn","man.tan","man.source.pig","t.incorp","incorp.deep","incorp.shallow","crop","crop.hght","crop.notes","grass.hght","cereal.hght","bsth.cereal.hght","month.start","month.end","date.notes","air.temp","wind.2m","rain.rate","app.mthd.bc","app.mthd.os","app.mthd.cs","app.rate","tan.app","app.rate.ni","ct","id1","emis","EF","emis.def","EF.def","man.trt.nm","incorp.nm","EF.rel","EFp"
1980,"Autumn","Efterår","Closed slot injection","-","Sortjordsnedfældning","None","None","Pig","Ikke behandlet gylle","Svin","0045-1980","None","-",NA,1,"Table 11",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"None",0,NA,NA,0,0,9,9,"Tavs:  it’s not allowed to apply liquid animal manure to soil after 1/10",13.6,3.45,0.09,0,0,1,30,81,0,168,45,1.5,0.018,17,0.22,"No treatment","No incorp.",0,1.8
1980,"March","Marts","Trailing hose","-","Slæbeslanger","24.0","None","Pig","Ikke behandlet gylle","Svin","0046-1980","Deep","-","24.0",17.1,"Table 12",NA,3.2,7.2,3.8,2.7,1,24,TRUE,FALSE,"None",0,NA,NA,0,0,3,3,NA,3.3,4.37,0.09,0,0,0,30,81,30,168,46,4.8,0.059,7,0.087,"No treatment","Deep incorp.",0,5.9
1980,"March","Marts","Trailing hose","-","Slæbeslanger","12.0","None","Pig","Ikke behandlet gylle","Svin","0047-1980","Deep","-","12.0",NA,NA,NA,3.2,7.2,3.8,2.7,1,12,TRUE,FALSE,"None",0,NA,NA,0,0,3,3,NA,3.3,4.37,0.09,0,0,0,30,81,30,168,47,3.4,0.042,6.3,0.078,"No treatment","Deep incorp.",0,4.2
1980,"March","Marts","Trailing hose","-","Slæbeslanger","6.0","None","Pig","Ikke behandlet gylle","Svin","0048-1980","Deep","-","6.0",8,"Table 12",NA,3.2,7.2,3.8,2.7,1,6,TRUE,FALSE,"None",0,NA,NA,0,0,3,3,NA,3.3,4.37,0.09,0,0,0,30,81,30,168,48,2.2,0.027,5.6,0.069,"No treatment","Deep incorp.",1.4210854715202e-14,2.7
1980,"March","Marts","Trailing hose","-","Slæbeslanger","4.0","None","Pig","Ikke behandlet gylle","Svin","0049-1980","Deep","-","4.0",7,"Table 12",NA,3.2,7.2,3.8,2.7,1,4,TRUE,FALSE,"None",0,NA,NA,0,0,3,3,NA,3.3,4.37,0.09,0,0,0,30,81,30,168,49,1.7,0.021,5.2,0.065,"No treatment","Deep incorp.",0,2.1
1980,"April","April","Trailing hose","-","Slæbeslanger","24.0","None","Pig","Ikke behandlet gylle","Svin","0050-1980","Deep","-","24.0",18.7,"Table 12",NA,3.2,7.2,3.8,2.7,1,24,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,81,30,168,50,5.4,0.066,8.3,0.1,"No treatment","Deep incorp.",0,6.6
1980,"April","April","Trailing hose","-","Slæbeslanger","12.0","None","Pig","Ikke behandlet gylle","Svin","0051-1980","Deep","-","12.0",NA,NA,NA,3.2,7.2,3.8,2.7,1,12,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,81,30,168,51,4.1,0.05,7.5,0.093,"No treatment","Deep incorp.",0,5
1980,"April","April","Trailing hose","-","Slæbeslanger","6.0","None","Pig","Ikke behandlet gylle","Svin","0052-1980","Deep","-","6.0",8.7,"Table 12",NA,3.2,7.2,3.8,2.7,1,6,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,81,30,168,52,2.8,0.034,6.6,0.082,"No treatment","Deep incorp.",0,3.4
1980,"April","April","Trailing hose","-","Slæbeslanger","4.0","None","Pig","Ikke behandlet gylle","Svin","0053-1980","Deep","-","4.0",7.7,"Table 12",NA,3.2,7.2,3.8,2.7,1,4,TRUE,FALSE,"None",0,NA,NA,0,0,4,4,NA,6.8,3.795,0.09,0,0,0,30,81,30,168,53,2.2,0.027,6.1,0.076,"No treatment","Deep incorp.",1.4210854715202e-14,2.7
1980,"March","Marts","Trailing hose","+","Slæbeslanger","None","None","Pig","Ikke behandlet gylle","Svin","0054-1980","None","+",NA,13.9,"Table 10",NA,3.2,7.2,3.8,2.7,1,NA,FALSE,FALSE,"Winter cereal",15,NA,0,15,15,3,3,NA,3.3,4.37,0.09,0,0,0,30,81,30,168,54,10,0.13,12,0.14,"No treatment","No incorp.",0,13
